predictor_course_name,predictor_skill,avg_r,avg_weighted_score,avg_r_squared,years_observed,years_strong,pct_years_positive,avg_shared_players,decay_lift,last_played,tournament,as_of_date
Quail Hollow Club,sg_arg,-0.0436,-0.0351,0.0084,12,0,0.333,83.5,0.0,2024-05-12,The Memorial,2026-06-04
TPC Sawgrass - THE PLAYERS Stadium Course,sg_putt,-0.0384,-0.0384,0.018,21,2,0.476,90.3333,0.0,2025-03-16,The Memorial,2026-06-04
Poppy Hills,sg_app,-0.0955,-0.0396,0.1134,5,1,0.2,19.4,0.0,2009-02-15,The Memorial,2026-06-04
Pebble Beach Golf Links,sg_total,-0.029,-0.0404,0.0242,20,0,0.6,26.45,0.0,2025-02-02,The Memorial,2026-06-04
TPC Four Seasons Resort,sg_arg,-0.0398,-0.0415,0.0351,13,2,0.462,53.7692,0.0,2017-05-21,The Memorial,2026-06-04
Memorial Park Golf Course,sg_putt,-0.0635,-0.0419,0.0105,2,0,0.5,32.0,0.0,2025-03-30,The Memorial,2026-06-04
Pete Dye Stadium Course,sg_app,-0.0465,-0.0428,0.0475,9,2,0.333,26.2222,0.0,2025-01-19,The Memorial,2026-06-04
Silver Rock,sg_total,-0.0266,-0.0449,0.0464,4,1,0.5,17.5,0.0,2011-01-23,The Memorial,2026-06-04
Club de Golf Chapultepec,sg_arg,-0.037,-0.045,0.0285,4,0,0.5,40.5,0.0,2020-02-23,The Memorial,2026-06-04
Silver Rock,sg_putt,-0.0026,-0.0464,0.0611,4,1,0.75,17.25,0.0,2011-01-23,The Memorial,2026-06-04
Spyglass Hill Golf Course,sg_putt,-0.0387,-0.0466,0.0442,20,3,0.5,18.8,0.0,2025-02-02,The Memorial,2026-06-04
Pebble Beach Golf Links,sg_putt,-0.0411,-0.048,0.0332,20,1,0.5,26.45,0.0,2025-02-02,The Memorial,2026-06-04
Plantation Course at Kapalua,sg_app,-0.0625,-0.0507,0.0457,18,3,0.278,25.3889,0.0,2025-01-05,The Memorial,2026-06-04
Torrey Pines Golf Course (North Course),sg_ott,-0.0749,-0.0508,0.047,20,3,0.3,25.9,0.0,2025-01-25,The Memorial,2026-06-04
Nicklaus Tournament Course,sg_putt,-0.0681,-0.0521,0.1585,9,3,0.333,19.2222,0.0,2025-01-19,The Memorial,2026-06-04
Monterey Peninsula CC,sg_app,-0.061,-0.0531,0.0533,12,2,0.417,16.9167,0.0,2023-02-05,The Memorial,2026-06-04
Cottonwood Valley GC,sg_putt,-0.0534,-0.0537,0.021,3,0,0.333,25.6667,0.0,2007-04-29,The Memorial,2026-06-04
Spyglass Hill Golf Course,sg_ott,-0.0723,-0.0552,0.0504,20,1,0.4,18.8,0.0,2025-02-02,The Memorial,2026-06-04
TPC Scottsdale (Stadium Course),sg_arg,-0.0722,-0.0575,0.0264,20,3,0.25,74.55,0.0,2025-02-09,The Memorial,2026-06-04
Trinity Forest Golf Club,sg_app,-0.0542,-0.0615,0.0283,2,0,0.5,46.5,0.0,2019-05-12,The Memorial,2026-06-04
